Date,Open,High,Low,Close,Volume,Adj Close
2011-04-06,38.49997,38.72997,38.19996,38.39003,5217700,23.73948
2011-04-05,38.41,38.78001,38.23005,38.52007,6259000,23.81989
2011-04-04,38.97993,39.02998,38.24003,38.49997,7445700,23.80746
2011-04-01,38.95997,39.47001,38.61005,38.84004,10187600,24.01776
2011-03-31,37.69006,38.90007,37.49999,38.90007,13717100,24.045
2011-03-30,36.80002,37.61007,36.64003,37.61007,7820200,23.24762
2011-03-29,37.00007,37.09005,36.49003,36.57002,6252100,22.60474
2011-03-28,36.80002,37.26999,36.66998,36.82997,6076400,22.76542
2011-03-25,36.59997,37.00007,36.59997,36.89998,5600,22.8087
2011-03-24,36.71004,37.31006,36.61993,36.88001,5600,22.79636
2011-03-23,36.98995,37.16005,36.63005,36.78005,9769400,22.73457
2011-03-22,35.99996,37.24005,35.90,37.17004,9389500,22.97563
2011-03-21,36.25005,36.29996,35.90,35.98997,4706500,22.2462
2011-03-18,35.39994,36.07995,35.36999,35.97999,8397900,22.24003
2011-03-17,35.74999,35.84995,34.94993,35.22997,9507500,21.77643
2011-03-16,36.40005,36.43998,34.87007,35.42004,11607600,21.89391
2011-03-15,34.89003,36.29996,34.81004,36.28,10142800,22.42547
2011-03-14,35.44,35.99996,35.25007,35.84995,6859500,22.15965
2011-03-11,34.69997,35.67998,34.54996,35.67998,13218100,22.05459
2011-03-10,35.50003,35.50003,34.82003,34.82003,14655900,21.52303
2011-03-09,36.55006,37.00007,36.11003,36.20999,3895100,22.3822
2011-03-04,37.01005,37.55004,36.72003,37.34001,5632300,23.08069
2011-03-03,36.49003,37.33002,36.35999,37.21995,6702100,23.00648
2011-03-02,36.05,36.55006,36.05,36.33004,9112100,22.45641
2011-03-01,37.02003,37.19999,36.12001,36.20,6748900,22.37603
2011-02-28,36.50001,37.06995,36.30994,37.00007,13142500,22.86069
2011-02-25,36.68995,37.00007,35.67,36.30994,12573800,22.43429
2011-02-24,36.96999,37.59995,36.05,36.46993,15521800,22.53314
2011-02-23,36.80002,37.00007,36.12999,36.81,11607900,22.74326
2011-02-22,37.29994,37.59995,36.14996,36.63005,13469900,22.63207
2011-02-21,37.97995,37.97995,37.34999,37.44995,4603500,23.13865
2011-02-18,38.00005,38.35995,37.85005,38.03998,6489200,23.50321
2011-02-17,37.87001,38.39003,37.49999,38.20995,12647900,23.60822
2011-02-16,37.07993,37.87001,37.07993,37.85005,12617300,23.38585
2011-02-15,36.23993,37.10003,35.94006,37.02003,10949700,22.87303
2011-02-14,35.95004,36.66998,35.84995,36.37996,6602500,22.47755
2011-02-11,34.98001,36.18004,34.63994,36.11003,9709600,22.31077
2011-02-10,34.90002,35.32993,34.69997,34.76,10647200,21.47665
2011-02-09,35.61996,35.99996,34.81004,34.96005,8459300,21.60025
2011-02-08,34.58004,36.21997,34.53,35.80004,9686400,22.11925
2011-02-07,34.63994,34.89003,34.17995,34.76,7837100,21.47665
2011-02-04,35.29998,35.30997,34.16996,34.40994,13427600,21.26037
2011-02-03,35.77994,35.77994,35.20003,35.38996,6335900,21.86588
2011-02-02,36.15994,36.55006,35.64005,35.75998,10208600,22.09449
2011-02-01,35.84995,36.20999,35.76996,36.10005,9310300,22.30461
2011-01-31,36.37996,36.56004,35.50003,35.59001,9885800,21.97961
2011-01-28,36.89998,37.04998,35.52,36.28998,12868500,22.4119
2011-01-27,37.19999,37.32004,35.91996,37.10003,9912700,22.91216
2011-01-26,37.43996,37.67994,36.95002,36.95002,6106300,22.81953
2011-01-24,37.26001,37.49999,37.14994,37.48003,4253000,23.14684
2011-01-21,37.31006,37.70004,37.00007,37.20997,8046000,22.98006
2011-01-20,38.00005,38.04996,36.98995,37.19999,15964900,22.9739
2011-01-19,38.62003,38.76005,38.00005,38.12995,9491200,23.54822
2011-01-18,39.30004,39.30004,38.41,38.55002,12231800,23.80765
2011-01-17,39.45004,39.45004,39.00003,39.04994,4158100,24.11639
2011-01-14,39.40,39.78998,39.19995,39.61003,6740700,24.46228
2011-01-13,40.39997,40.43006,39.71997,40.06004,1311400,24.7402
2011-01-12,39.59006,40.24997,39.44006,40.24997,7453200,24.8575
2011-01-11,39.25997,39.55998,39.09999,39.22004,7378100,24.22144
2011-01-10,38.46004,38.97993,37.97995,38.97993,6360300,24.07315
2011-01-07,39.55998,39.85999,38.46004,38.66994,9248300,23.88171
2011-01-06,40.40996,40.48995,39.60004,39.63998,10343400,24.48078
2011-01-05,39.79996,40.65007,39.54002,40.60003,7359800,25.07369
2011-01-04,39.70,40.23001,39.60004,40.00001,7687900,24.70313
2011-01-03,39.60004,40.08,39.45004,39.68004,6069400,24.50552
2010-12-30,39.60004,39.78998,39.09999,39.78998,6125600,24.56356
2010-12-29,38.70002,39.52005,38.65996,39.48997,4821000,24.37835
2010-12-28,38.88995,38.91005,38.38005,38.63001,3579900,23.84747
2010-12-27,39.19995,39.23003,38.64998,38.64998,3280900,23.8598
2010-12-23,39.17998,39.65994,39.11995,39.32998,5547400,24.27959
2010-12-22,38.58995,39.42994,38.20995,39.42994,9524700,24.34129
2010-12-21,37.80,38.68006,37.74996,38.53005,6709300,23.78577
2010-12-20,38.59993,38.63999,37.65998,37.65998,7622100,23.24864
2010-12-17,38.10001,38.50995,37.70004,38.49997,6402200,23.7672
2010-12-16,38.49997,38.71001,37.80998,38.13994,9086800,23.54494
2010-12-15,38.34997,38.59993,38.03998,38.45006,8647200,23.73638
2010-12-14,38.58995,38.66994,37.87999,38.66994,7949600,23.87212
2010-12-13,38.69004,38.77003,38.10999,38.49997,7850100,23.7672
2010-12-10,38.58995,38.74993,38.00005,38.39003,7164200,23.69933
2010-12-09,38.94998,39.04994,38.12995,38.39003,10262600,23.69933
2010-12-08,39.30004,39.31002,38.46004,38.93002,7506300,24.03268
2010-12-07,39.52005,39.85999,39.19995,39.30004,5408700,24.2611
2010-12-06,39.53003,39.60004,38.94,39.17,5793400,24.18082
2010-12-03,39.82006,40.07002,39.24999,39.53003,8491100,24.40308
2010-12-02,40.29003,40.59004,40.15001,40.15001,6567900,24.78582
2010-12-01,40.00001,40.46999,39.64996,40.00999,9469100,24.69938
2010-11-30,39.45004,39.92002,39.16001,39.24999,11958500,24.22035
2010-11-29,39.94996,40.01998,39.09999,39.60004,9907900,24.43636
2010-11-26,40.11993,40.30002,39.78,40.09997,6147400,24.74485
2010-11-25,40.69,40.69998,40.14003,40.46999,2924800,24.97318
2010-11-24,40.38999,41.31996,40.30002,40.54,12038200,25.01638
2010-11-23,40.69,40.95993,39.80994,40.18994,9851100,24.80037
2010-11-22,41.77996,41.87006,40.76999,41.28003,4292400,25.47304
2010-11-19,41.31996,42.06,41.07998,41.92996,6471400,25.8741
2010-11-18,41.65005,41.93994,41.42005,41.51003,5565300,25.61497
2010-11-17,41.20004,41.36003,40.92,41.09995,4164600,25.36192
2010-11-16,41.70994,42.12003,40.69,41.14999,7928100,25.3928
2010-11-12,41.75001,41.99997,41.24995,41.99997,6646400,25.9173
