Data;1 - Taxa de câmbio - Livre - Dólar americano (venda) - diário - u.m.c./US$
26/01/2004;2,8431
27/01/2004;2,8587
28/01/2004;2,8785
29/01/2004;2,9236
30/01/2004;2,9409
02/02/2004;2,9486
03/02/2004;2,9326
04/02/2004;2,9106
05/02/2004;2,9335
06/02/2004;2,95
09/02/2004;2,9341
10/02/2004;2,9198
11/02/2004;2,9253
12/02/2004;2,9042
13/02/2004;2,9085
16/02/2004;2,9066
17/02/2004;2,9125
18/02/2004;2,9296
19/02/2004;2,9509
20/02/2004;2,9878
25/02/2004;2,9403
26/02/2004;2,9369
27/02/2004;2,9138
01/03/2004;2,8945
02/03/2004;2,9086
03/03/2004;2,8812
04/03/2004;2,8878
05/03/2004;2,879
08/03/2004;2,8752
09/03/2004;2,8758
10/03/2004;2,8891
11/03/2004;2,9132
12/03/2004;2,9063
15/03/2004;2,9013
16/03/2004;2,9001
17/03/2004;2,907
18/03/2004;2,9135
19/03/2004;2,9
22/03/2004;2,9107
23/03/2004;2,9144
24/03/2004;2,9264
25/03/2004;2,9337
26/03/2004;2,941
29/03/2004;2,9365
30/03/2004;2,9216
31/03/2004;2,9086
01/04/2004;2,8904
02/04/2004;2,893
05/04/2004;2,8851
06/04/2004;2,8743
07/04/2004;2,8773
08/04/2004;2,8802
12/04/2004;2,8855
13/04/2004;2,8851
14/04/2004;2,8956
15/04/2004;2,9064
16/04/2004;2,9153
19/04/2004;2,9101
20/04/2004;2,9186
22/04/2004;2,9305
23/04/2004;2,9173
26/04/2004;2,9085
27/04/2004;2,9161
28/04/2004;2,9335
29/04/2004;2,9522
30/04/2004;2,9447
03/05/2004;2,9569
04/05/2004;2,9696
05/05/2004;2,9616
06/05/2004;2,9899
07/05/2004;3,0504
10/05/2004;3,1249
11/05/2004;3,1051
12/05/2004;3,1211
13/05/2004;3,1279
14/05/2004;3,0982
17/05/2004;3,122
18/05/2004;3,1169
19/05/2004;3,1059
20/05/2004;3,1813
21/05/2004;3,2051
24/05/2004;3,1798
25/05/2004;3,1576
26/05/2004;3,157
27/05/2004;3,1524
28/05/2004;3,0961
31/05/2004;3,1291
01/06/2004;3,1567
02/06/2004;3,1302
03/06/2004;3,1443
04/06/2004;3,1335
07/06/2004;3,1119
08/06/2004;3,1155
09/06/2004;3,1166
11/06/2004;3,1402
14/06/2004;3,1651
15/06/2004;3,138
16/06/2004;3,1405
17/06/2004;3,128
18/06/2004;3,1388
21/06/2004;3,1298
22/06/2004;3,1341
23/06/2004;3,1258
24/06/2004;3,103
25/06/2004;3,1096
28/06/2004;3,1247
29/06/2004;3,1183
30/06/2004;3,1075
01/07/2004;3,0747
02/07/2004;3,0502
05/07/2004;3,0316
06/07/2004;3,0418
07/07/2004;3,0367
08/07/2004;3,0475
09/07/2004;3,0429
12/07/2004;3,0371
13/07/2004;3,042
14/07/2004;3,0284
15/07/2004;3,0215
16/07/2004;3,0021
19/07/2004;2,9939
20/07/2004;3,0041
21/07/2004;3,0247
22/07/2004;3,0392
23/07/2004;3,0465
26/07/2004;3,0573
27/07/2004;3,067
28/07/2004;3,0557
29/07/2004;3,0374
30/07/2004;3,0268
02/08/2004;3,0466
03/08/2004;3,055
04/08/2004;3,0579
05/08/2004;3,0637
06/08/2004;3,0489
09/08/2004;3,0396
10/08/2004;3,0285
11/08/2004;3,0392
12/08/2004;3,0307
13/08/2004;3,0235
16/08/2004;3,0146
17/08/2004;2,9989
18/08/2004;2,9922
19/08/2004;2,9793
20/08/2004;2,9742
23/08/2004;2,9687
24/08/2004;2,9576
25/08/2004;2,9512
26/08/2004;2,9541
27/08/2004;2,9571
30/08/2004;2,9488
31/08/2004;2,9338
01/09/2004;2,9298
02/09/2004;2,9361
03/09/2004;2,9289
06/09/2004;2,9142
08/09/2004;2,9014
09/09/2004;2,9028
10/09/2004;2,8988
13/09/2004;2,906
14/09/2004;2,9125
15/09/2004;2,9042
16/09/2004;2,8892
17/09/2004;2,8744
20/09/2004;2,8676
21/09/2004;2,8737
22/09/2004;2,8677
23/09/2004;2,8725
24/09/2004;2,8735
27/09/2004;2,8728
28/09/2004;2,8692
29/09/2004;2,8602
30/09/2004;2,8586
01/10/2004;2,8513
04/10/2004;2,8265
05/10/2004;2,8241
06/10/2004;2,8362
07/10/2004;2,8518
08/10/2004;2,8251
11/10/2004;2,8318
13/10/2004;2,8374
14/10/2004;2,8631
15/10/2004;2,8623
18/10/2004;2,8547
19/10/2004;2,8706
20/10/2004;2,8847
21/10/2004;2,8535
22/10/2004;2,8489
25/10/2004;2,8817
26/10/2004;2,8729
27/10/2004;2,8585
28/10/2004;2,8655
29/10/2004;2,8565
01/11/2004;2,859
03/11/2004;2,8304
04/11/2004;2,8211
05/11/2004;2,8186
08/11/2004;2,8299
09/11/2004;2,8287
10/11/2004;2,8209
11/11/2004;2,82
12/11/2004;2,7991
16/11/2004;2,7856
17/11/2004;2,7674
18/11/2004;2,7603
19/11/2004;2,7637
22/11/2004;2,7678
23/11/2004;2,7446
24/11/2004;2,7485
25/11/2004;2,7511
26/11/2004;2,7332
29/11/2004;2,7402
30/11/2004;2,7307
01/12/2004;2,7145
02/12/2004;2,7239
03/12/2004;2,7095
06/12/2004;2,7186
07/12/2004;2,7322
08/12/2004;2,7664
09/12/2004;2,7744
10/12/2004;2,7867
13/12/2004;2,7697
14/12/2004;2,758
15/12/2004;2,7508
16/12/2004;2,7293
17/12/2004;2,7247
20/12/2004;2,6927
21/12/2004;2,6892
22/12/2004;2,699
23/12/2004;2,7067
24/12/2004;2,6912
27/12/2004;2,6983
28/12/2004;2,6895
29/12/2004;2,6836
30/12/2004;2,6544
31/12/2004;2,6544
03/01/2005;2,6682
04/01/2005;2,6887
05/01/2005;2,7096
06/01/2005;2,7207
07/01/2005;2,7032
10/01/2005;2,6973
11/01/2005;2,7106
12/01/2005;2,7113
13/01/2005;2,7011
14/01/2005;2,7074
17/01/2005;2,7007
18/01/2005;2,7139
19/01/2005;2,7185
20/01/2005;2,7222
21/01/2005;2,6999
24/01/2005;2,678
25/01/2005;2,6794
26/01/2005;2,6748
27/01/2005;2,6645
28/01/2005;2,6587
31/01/2005;2,6248
01/02/2005;2,613
02/02/2005;2,624
03/02/2005;2,6034
04/02/2005;2,603
09/02/2005;2,6078
10/02/2005;2,6122
11/02/2005;2,6173
14/02/2005;2,5834
15/02/2005;2,5762
16/02/2005;2,5926
17/02/2005;2,5737
18/02/2005;2,5621
21/02/2005;2,5762
22/02/2005;2,5937
23/02/2005;2,5857
24/02/2005;2,6098
25/02/2005;2,632
28/02/2005;2,595
01/03/2005;2,6011
02/03/2005;2,6368
03/03/2005;2,6698
04/03/2005;2,6615
07/03/2005;2,6624
08/03/2005;2,6934
09/03/2005;2,7113
10/03/2005;2,7319
11/03/2005;2,7021
14/03/2005;2,7523
15/03/2005;2,7621
16/03/2005;2,757
17/03/2005;2,7522
18/03/2005;2,7163
21/03/2005;2,7288
22/03/2005;2,706
23/03/2005;2,7403
24/03/2005;2,7303
28/03/2005;2,7385
29/03/2005;2,7031
30/03/2005;2,6808
31/03/2005;2,6662
01/04/2005;2,655
04/04/2005;2,6598
05/04/2005;2,6255
06/04/2005;2,6067
07/04/2005;2,6019
08/04/2005;2,5942
11/04/2005;2,5783
12/04/2005;2,5899
13/04/2005;2,5598
14/04/2005;2,5747
15/04/2005;2,5971
18/04/2005;2,6157
19/04/2005;2,5825
20/04/2005;2,5645
22/04/2005;2,5392
25/04/2005;2,5308
26/04/2005;2,5355
27/04/2005;2,5195
28/04/2005;2,5217
29/04/2005;2,5313
02/05/2005;2,5146
03/05/2005;2,5007
04/05/2005;2,4765
05/05/2005;2,4687
06/05/2005;2,4594
09/05/2005;2,4538
10/05/2005;2,465
11/05/2005;2,4719
12/05/2005;2,4648
13/05/2005;2,4715
16/05/2005;2,4772
17/05/2005;2,4779
